,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,
Week type,Start Date JD,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota
Review,2459202,6,1,1-2,6,2,1-2,6,3,1-2,6,4,1-2,6,5,1-3,7,1,1-7,7,2,1-8,7,3,1-9,7,4,1-15,7,5,1-17,8,1,1-12,8,2,1-16,8,3,1-19,8,4,1-35,8,5,1-40,9,1,1-17,9,2,1-33,9,3,1-38,9,4,1-66,9,5,1-77,10,1,1-22,10,2,1-51,10,3,1-62,10,4,1-102,10,5,1-119,11,1,1-32,11,2,1-68,11,3,1-86,11,4,1-138,11,5,1-161,12,1,1-42,12,2,1-86,12,3,1-112,12,4,1-174,12,5,1-205,13,1,1-54,13,2,1-107,13,3,1-142,13,4,1-210,13,5,1-253
Learn line,2459209,6,1,3,6,2,3,6,3,3,6,4,3,6,5,4-5,7,1,8,7,2,9,7,3,10,7,4,16-18,7,5,18-20,8,1,13,8,2,17-18,8,3,20-21,8,4,36-39,8,5,41-45,9,1,18,9,2,34-36,9,3,39-42,9,4,67-72,9,5,78-84,10,1,23-24,10,2,53-54,10,3,63-66,10,4,103-108,10,5,120-126,11,1,33-34,11,2,69-71,11,3,87-90,11,4,138-144,11,5,162-168,12,1,43-44,12,2,87-89,12,3,113-117,12,4,175-180,12,5,206-213,13,1,55-56,13,2,108-111,13,3,143-147,13,4,211-216,13,5,254-261
Learn line,2459216,6,1,3,6,2,3,6,3,3,6,4,3,6,5,4-5,7,1,8,7,2,9,7,3,10,7,4,16-18,7,5,18-20,8,1,13,8,2,17-18,8,3,20-21,8,4,36-39,8,5,41-45,9,1,18,9,2,34-36,9,3,39-42,9,4,67-72,9,5,78-84,10,1,23-24,10,2,53-54,10,3,63-66,10,4,103-108,10,5,120-126,11,1,33-34,11,2,69-71,11,3,87-90,11,4,138-144,11,5,162-168,12,1,43-44,12,2,87-89,12,3,113-117,12,4,175-180,12,5,206-213,13,1,55-56,13,2,108-111,13,3,143-147,13,4,211-216,13,5,254-261
Learn line,2459223,6,1,3,6,2,3,6,3,3,6,4,3,6,5,4-5,7,1,8,7,2,9,7,3,10,7,4,16-18,7,5,18-20,8,1,13,8,2,17-18,8,3,20-21,8,4,36-39,8,5,41-45,9,1,18,9,2,34-36,9,3,39-42,9,4,67-72,9,5,78-84,10,1,23-24,10,2,53-54,10,3,63-66,10,4,103-108,10,5,120-126,11,1,33-34,11,2,69-71,11,3,87-90,11,4,138-144,11,5,162-168,12,1,43-44,12,2,87-89,12,3,113-117,12,4,175-180,12,5,206-213,13,1,55-56,13,2,108-111,13,3,143-147,13,4,211-216,13,5,254-261
Review,2459230,6,1,1-3,6,2,1-3,6,3,1-3,6,4,1-3,6,5,1-5,7,1,1-8,7,2,1-9,7,3,1-10,7,4,1-18,7,5,1-20,8,1,1-13,8,2,1-18,8,3,1-21,8,4,1-39,8,5,1-45,9,1,1-18,9,2,1-36,9,3,1-42,9,4,1-72,9,5,1-84,10,1,1-24,10,2,1-54,10,3,1-66,10,4,1-108,10,5,1-126,11,1,1-34,11,2,1-71,11,3,1-90,11,4,1-144,11,5,1-168,12,1,1-44,12,2,1-89,12,3,1-117,12,4,1-180,12,5,1-213,13,1,1-56,13,2,1-111,13,3,1-147,13,4,1-216,13,5,1-261
Learn line,2459237,6,1,4,6,2,4,6,3,4,6,4,4-5,6,5,6-7,7,1,9,7,2,10,7,3,11,7,4,19-21,7,5,21-23,8,1,14,8,2,19-21,8,3,22-24,8,4,40-44,8,5,46-51,9,1,19,9,2,37-39,9,3,43-46,9,4,73-78,9,5,85-91,10,1,25-26,10,2,55-57,10,3,67-70,10,4,109-114,10,5,127-133,11,1,35-36,11,2,72-74,11,3,91-94,11,4,145-150,11,5,169-175,12,1,45-46,12,2,90-92,12,3,118-122,12,4,181-186,12,5,213-221,13,1,57-58,13,2,112-115,13,3,148-152,13,4,217-222,13,5,262-269
Learn line,2459244,6,1,4,6,2,4,6,3,4,6,4,4-5,6,5,6-7,7,1,9,7,2,10,7,3,11,7,4,19-21,7,5,21-23,8,1,14,8,2,19-21,8,3,22-24,8,4,40-44,8,5,46-51,9,1,19,9,2,37-39,9,3,43-46,9,4,73-78,9,5,85-91,10,1,25-26,10,2,55-57,10,3,67-70,10,4,109-114,10,5,127-133,11,1,35-36,11,2,72-74,11,3,91-94,11,4,145-150,11,5,169-175,12,1,45-46,12,2,90-92,12,3,118-122,12,4,181-186,12,5,213-221,13,1,57-58,13,2,112-115,13,3,148-152,13,4,217-222,13,5,262-269
Learn line,2459251,6,1,4,6,2,4,6,3,4,6,4,4-5,6,5,6-7,7,1,9,7,2,10,7,3,11,7,4,19-21,7,5,21-23,8,1,14,8,2,19-21,8,3,22-24,8,4,40-44,8,5,46-51,9,1,19,9,2,37-39,9,3,43-46,9,4,73-78,9,5,85-91,10,1,25-26,10,2,55-57,10,3,67-70,10,4,109-114,10,5,127-133,11,1,35-36,11,2,72-74,11,3,91-94,11,4,145-150,11,5,169-175,12,1,45-46,12,2,90-92,12,3,118-122,12,4,181-186,12,5,213-221,13,1,57-58,13,2,112-115,13,3,148-152,13,4,217-222,13,5,262-269
Review,2459258,6,1,1-4,6,2,1-4,6,3,1-4,6,4,1-5,6,5,1-7,7,1,1-9,7,2,1-10,7,3,1-11,7,4,1-21,7,5,1-23,8,1,1-14,8,2,1-21,8,3,1-24,8,4,1-44,8,5,1-51,9,1,1-19,9,2,1-39,9,3,1-46,9,4,1-78,9,5,1-91,10,1,1-26,10,2,1-57,10,3,1-70,10,4,1-114,10,5,1-133,11,1,1-36,11,2,1-74,11,3,1-94,11,4,1-150,11,5,1-175,12,1,1-46,12,2,1-92,12,3,1-122,12,4,1-186,12,5,1-221,13,1,1-58,13,2,1-115,13,3,1-152,13,4,1-222,13,5,1-269
Learn line,2459265,6,1,5,6,2,5,6,3,5,6,4,6-7,6,5,8-9,7,1,10,7,2,11,7,3,12-13,7,4,22-24,7,5,24-26,8,1,15,8,2,22-24,8,3,25-27,8,4,45-49,8,5,52-57,9,1,20,9,2,40-42,9,3,47-50,9,4,79-84,9,5,92-98,10,1,27-28,10,2,58-60,10,3,71-74,10,4,115-120,10,5,134-140,11,1,37-38,11,2,75-77,11,3,95-98,11,4,151-156,11,5,176-182,12,1,47-48,12,2,93-95,12,3,123-127,12,4,187-192,12,5,222-229,13,1,59-60,13,2,116-120,13,3,153-157,13,4,223-228,13,5,270-277
